id,timestamp,source,proposals_found,new_proposals,errors
666,2026-05-31T13:00:01.618366+00:00,koios,120,0,[]
665,2026-05-31T09:00:01.896319+00:00,koios,120,0,[]
664,2026-05-31T05:00:01.443382+00:00,koios,120,0,[]
663,2026-05-31T01:00:01.664717+00:00,koios,120,0,[]
662,2026-05-30T21:00:01.829502+00:00,koios,120,0,[]
661,2026-05-30T17:00:01.194868+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
660,2026-05-30T13:00:01.692773+00:00,koios,120,0,[]
659,2026-05-30T09:00:01.400029+00:00,koios,120,0,[]
658,2026-05-30T05:00:01.636908+00:00,koios,120,0,[]
657,2026-05-30T01:00:01.196431+00:00,koios,120,0,[]
656,2026-05-29T21:00:01.953626+00:00,koios,120,1,[]
655,2026-05-29T17:00:01.175008+00:00,koios,119,0,[]
654,2026-05-29T13:00:01.338613+00:00,koios,119,0,[]
653,2026-05-29T09:00:02.092707+00:00,koios,119,0,[]
652,2026-05-29T05:00:01.981145+00:00,koios,119,0,[]
651,2026-05-29T01:00:01.717007+00:00,koios,119,0,[]
650,2026-05-28T21:00:01.158367+00:00,koios,119,0,[]
649,2026-05-28T17:00:01.638545+00:00,koios,119,0,[]
648,2026-05-28T13:00:01.274912+00:00,koios,119,0,[]
647,2026-05-28T09:00:01.428747+00:00,koios,119,0,[]
646,2026-05-28T05:00:01.568346+00:00,koios,119,0,[]
645,2026-05-28T01:00:02.080891+00:00,koios,119,0,[]
644,2026-05-27T21:00:01.490022+00:00,koios,119,0,[]
643,2026-05-27T17:00:01.777416+00:00,koios,119,0,[]
642,2026-05-27T13:00:01.286250+00:00,koios,119,0,[]
641,2026-05-27T09:00:01.420230+00:00,koios,119,0,[]
640,2026-05-27T05:00:01.874340+00:00,koios,119,0,[]
639,2026-05-27T01:00:01.336174+00:00,koios,119,0,[]
638,2026-05-26T21:00:01.557361+00:00,koios,119,0,[]
637,2026-05-26T17:00:01.905723+00:00,koios,119,1,[]
636,2026-05-26T13:00:02.087543+00:00,koios,118,0,[]
635,2026-05-26T09:00:01.654498+00:00,koios,118,0,[]
634,2026-05-26T05:00:01.546206+00:00,koios,118,0,[]
633,2026-05-26T01:00:01.843507+00:00,koios,118,0,[]
632,2026-05-25T21:00:01.187431+00:00,koios,118,0,[]
631,2026-05-25T17:00:01.872871+00:00,koios,118,0,[]
630,2026-05-25T13:00:01.964203+00:00,koios,118,0,[]
629,2026-05-25T09:00:01.616421+00:00,koios,118,0,[]
628,2026-05-25T05:00:01.172663+00:00,koios,118,0,[]
627,2026-05-25T01:00:02.125318+00:00,koios,118,0,[]
626,2026-05-24T21:00:01.485021+00:00,koios,118,0,[]
625,2026-05-24T17:00:01.673328+00:00,koios,118,0,[]
624,2026-05-24T13:00:01.789292+00:00,koios,118,0,[]
623,2026-05-24T09:00:01.485841+00:00,koios,118,0,[]
622,2026-05-24T05:00:01.474308+00:00,koios,118,0,[]
621,2026-05-24T01:00:02.088080+00:00,koios,118,0,[]
620,2026-05-23T21:00:02.001658+00:00,koios,118,0,[]
619,2026-05-23T17:00:01.416687+00:00,koios,118,0,[]
618,2026-05-23T13:00:01.314969+00:00,koios,118,0,[]
617,2026-05-23T09:00:02.032674+00:00,koios,118,0,[]
616,2026-05-23T05:00:01.948251+00:00,koios,118,0,[]
615,2026-05-23T01:00:01.316889+00:00,koios,118,0,[]
614,2026-05-22T21:00:02.057655+00:00,koios,118,0,[]
613,2026-05-22T17:00:01.533793+00:00,koios,118,0,[]
612,2026-05-22T13:00:01.768355+00:00,koios,118,0,[]
611,2026-05-22T09:00:01.162563+00:00,koios,118,0,[]
610,2026-05-22T05:00:02.070606+00:00,koios,118,0,[]
609,2026-05-22T01:00:01.743888+00:00,koios,118,0,[]
608,2026-05-21T21:00:01.740402+00:00,koios,118,0,[]
607,2026-05-21T17:00:01.351980+00:00,koios,118,1,[]
606,2026-05-21T13:00:02.044039+00:00,koios,117,0,[]
605,2026-05-21T09:00:01.749416+00:00,koios,117,0,[]
604,2026-05-21T05:00:01.852117+00:00,koios,117,0,[]
603,2026-05-21T01:00:01.213288+00:00,koios,117,0,[]
602,2026-05-20T21:00:01.412104+00:00,koios,117,1,[]
601,2026-05-20T17:00:01.501541+00:00,koios,116,0,[]
600,2026-05-20T13:00:01.845319+00:00,koios,116,0,[]
599,2026-05-20T09:00:01.643901+00:00,koios,116,0,[]
598,2026-05-20T05:00:01.468188+00:00,koios,116,0,[]
597,2026-05-20T01:00:01.801289+00:00,koios,116,0,[]
596,2026-05-19T21:00:02.021464+00:00,koios,116,0,[]
595,2026-05-19T17:00:01.746624+00:00,koios,116,0,[]
594,2026-05-19T13:00:01.754208+00:00,koios,116,0,[]
593,2026-05-19T09:00:01.188800+00:00,koios,116,0,[]
592,2026-05-19T05:00:01.213467+00:00,koios,116,0,[]
591,2026-05-19T01:00:01.506332+00:00,koios,116,0,[]
590,2026-05-18T21:00:01.303680+00:00,koios,116,0,[]
589,2026-05-18T17:00:01.824165+00:00,koios,116,0,[]
588,2026-05-18T13:00:01.295358+00:00,koios,116,0,[]
587,2026-05-18T09:00:01.909488+00:00,koios,116,0,[]
586,2026-05-18T05:00:01.379692+00:00,koios,116,0,[]
585,2026-05-18T01:00:01.744494+00:00,koios,116,0,[]
584,2026-05-17T21:00:01.265817+00:00,koios,116,0,[]
583,2026-05-17T17:00:01.424542+00:00,koios,116,0,[]
582,2026-05-17T13:00:01.324830+00:00,koios,116,0,[]
581,2026-05-17T09:00:01.820307+00:00,koios,116,0,[]
580,2026-05-17T05:00:01.594915+00:00,koios,116,0,[]
579,2026-05-17T01:00:02.027148+00:00,koios,116,0,[]
578,2026-05-16T21:00:01.849200+00:00,koios,116,0,[]
577,2026-05-16T17:00:01.405916+00:00,koios,116,0,[]
576,2026-05-16T13:00:01.378802+00:00,koios,116,0,[]
575,2026-05-16T09:00:01.315476+00:00,koios,116,0,[]
574,2026-05-16T05:00:01.920429+00:00,koios,116,0,[]
573,2026-05-16T01:00:01.561361+00:00,koios,116,0,[]
572,2026-05-15T21:00:01.900162+00:00,koios,116,0,[]
571,2026-05-15T17:00:01.717644+00:00,koios,116,0,[]
570,2026-05-15T13:00:01.617489+00:00,koios,116,1,[]
569,2026-05-15T09:00:02.103382+00:00,koios,115,0,[]
568,2026-05-15T05:00:01.195996+00:00,koios,115,0,[]
567,2026-05-15T01:00:01.161379+00:00,koios,115,0,[]
